2026-08-19 17:24:24.613 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:24,610 [INFO] serverless_worker: Loading FireRed-Image-Edit-1.1 into VRAM for job...\n
2026-08-19 17:24:24.824 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:24,611 [INFO] inference: Loading FireRed-Image-Edit-1.1 from FireRedTeam/FireRed-Image-Edit-1.1...\n
2026-08-19 17:24:24.824 | info | o9z6dp2ddsyshk | /usr/local/lib/python3.11/dist-packages/diffusers/utils/deprecation_utils.py:23: FutureWarning: `torch_dtype` is deprecated and will be removed in version 1.0.0. Please use `dtype` instead.\n
2026-08-19 17:24:24.824 | info | o9z6dp2ddsyshk |   deprecate("torch_dtype", "1.0.0", _TORCH_DTYPE_DEPRECATION_MESSAGE)\n
2026-08-19 17:24:24.824 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:24,823 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/agent-harnesses "HTTP/1.1 200 OK"\n
2026-08-19 17:24:24.953 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:24,953 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/models/FireRedTeam/FireRed-Image-Edit-1.1 "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.095 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,094 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/main/model_index.json "HTTP/1.1 307 Temporary Redirect"\n
2026-08-19 17:24:25.266 | info | o9z6dp2ddsyshk | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.\n
2026-08-19 17:24:25.266 | warning | o9z6dp2ddsyshk | 2026-08-19 14:24:25,095 [WARNING] huggingface_hub.utils._http: Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.\n
2026-08-19 17:24:25.266 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,102 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/model_index.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.266 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,112 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/model_index.json "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.266 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,265 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/models/FireRedTeam/FireRed-Image-Edit-1.1/revision/main "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.399 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,398 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/models/FireRedTeam/FireRed-Image-Edit-1.1/tree/3bc3f2a12722fd9883eb6357500de191d56baaf5?recursive=true&expand=false "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.533 | info | o9z6dp2ddsyshk | \rFetching 32 files:   0%|          | 0/32 [00:00<?, ?it/s]2026-08-19 14:24:25,532 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor/chat_template.jinja "HTTP/1.1 307 Temporary Redirect"\n
2026-08-19 17:24:25.673 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,538 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor%2Fchat_template.jinja "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.674 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,544 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor%2Fchat_template.jinja "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.674 | info | o9z6dp2ddsyshk | \rFetching 32 files:   6%|▋         | 2/32 [00:00<00:02, 14.40it/s]2026-08-19 14:24:25,558 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor/merges.txt "HTTP/1.1 307 Temporary Redirect"\n
2026-08-19 17:24:25.674 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,560 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor/added_tokens.json "HTTP/1.1 307 Temporary Redirect"\n
2026-08-19 17:24:25.674 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,560 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor/special_tokens_map.json "HTTP/1.1 307 Temporary Redirect"\n
2026-08-19 17:24:25.674 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,565 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/FireRedTeam/FireRed-Image-Edit-1.1/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor%2Fmerges.txt "HTTP/1.1 200 OK"\n
2026-08-19 17:24:25.674 | info | o9z6dp2ddsyshk | 2026-08-19 14:24:25,566 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/FireRedTeam/FireRed-Image-Edit-1.1/resolve/3bc3f2a12722fd9883eb6357500de191d56baaf5/processor/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"\n
